League,Round,Date,Time,Field,Home Team,Away Team
1-a,1,Po 22.9.25,20:15,METE1,G.I.C La Plate de Cünde,Huňáč PK A
1-a,1,Po 22.9.25,19:00,METE1,Dynamo UK,Lucián FC A
1-a,1,Po 1.9.25,20:45,P1,TJ Spoje Meliss,Uragan
1-a,1,Po 1.9.25,20:30,MOTO1,Andezit FC A,MC Sarmat A
1-a,1,Po 1.9.25,19:30,P1,Hoverla Zak,Restaurace U Pecků A
1-a,1,Po 1.9.25,19:15,MOTO1,Flyers Jinonice FC,Santa Dominica
1-a,2,Po 8.9.25,20:45,P1,Lucián FC A,G.I.C La Plate de Cünde
1-a,2,Po 8.9.25,20:30,MOTO1,Flyers Jinonice FC,TJ Spoje Meliss
1-a,2,Po 8.9.25,20:15,METE1,Restaurace U Pecků A,Andezit FC A
1-a,2,Po 8.9.25,19:30,P1,MC Sarmat A,Dynamo UK
1-a,2,Po 8.9.25,19:15,MOTO1,Uragan,Hoverla Zak
1-a,2,Po 8.9.25,19:00,METE1,Santa Dominica,Huňáč PK A
1-a,3,Po 15.9.25,20:45,P1,TJ Spoje Meliss,Santa Dominica
1-a,3,Po 15.9.25,20:30,MOTO1,G.I.C La Plate de Cünde,MC Sarmat A
1-a,3,Po 15.9.25,20:15,METE1,Dynamo UK,Restaurace U Pecků A
1-a,3,Po 15.9.25,19:30,P1,Andezit FC A,Uragan
1-a,3,Po 15.9.25,19:15,MOTO1,Hoverla Zak,Flyers Jinonice FC
1-a,3,Po 15.9.25,19:00,METE1,Huňáč PK A,Lucián FC A
1-a,4,Po 29.9.25,20:45,P1,TJ Spoje Meliss,Hoverla Zak
1-a,4,Po 29.9.25,20:30,MOTO1,Santa Dominica,Lucián FC A
1-a,4,Po 29.9.25,20:15,METE1,Restaurace U Pecků A,G.I.C La Plate de Cünde
1-a,4,Po 29.9.25,19:30,P1,Uragan,Dynamo UK
1-a,4,Po 29.9.25,19:15,MOTO1,Flyers Jinonice FC,Andezit FC A
1-a,4,Po 29.9.25,19:00,METE1,MC Sarmat A,Huňáč PK A
1-a,5,Po 6.10.25,20:45,P1,Andezit FC A,TJ Spoje Meliss
1-a,5,Po 6.10.25,20:30,MOTO1,Hoverla Zak,Santa Dominica
1-a,5,Po 6.10.25,20:15,METE1,Huňáč PK A,Restaurace U Pecků A
1-a,5,Po 6.10.25,19:30,P1,G.I.C La Plate de Cünde,Uragan
1-a,5,Po 6.10.25,19:15,MOTO1,Dynamo UK,Flyers Jinonice FC
1-a,5,Po 6.10.25,19:00,METE1,Lucián FC A,MC Sarmat A
1-a,6,Po 13.10.25,20:45,P1,TJ Spoje Meliss,Dynamo UK
1-a,6,Po 13.10.25,20:30,MOTO1,Hoverla Zak,Andezit FC A
1-a,6,Po 13.10.25,20:15,METE1,Restaurace U Pecků A,Lucián FC A
1-a,6,Po 13.10.25,19:30,P1,Santa Dominica,MC Sarmat A
1-a,6,Po 13.10.25,19:15,MOTO1,Flyers Jinonice FC,G.I.C La Plate de Cünde
1-a,6,Po 13.10.25,19:00,METE1,Uragan,Huňáč PK A
1-a,7,Po 27.10.25,20:15,METE1,MC Sarmat A,Restaurace U Pecků A
1-a,7,Po 27.10.25,19:00,METE1,Lucián FC A,Uragan
1-a,7,Po 20.10.25,20:45,P1,G.I.C La Plate de Cünde,TJ Spoje Meliss
1-a,7,Po 20.10.25,20:30,MOTO1,Dynamo UK,Hoverla Zak
1-a,7,Po 20.10.25,19:30,P1,Andezit FC A,Santa Dominica
1-a,7,Po 20.10.25,19:15,MOTO1,Huňáč PK A,Flyers Jinonice FC
1-a,8,Po 3.11.25,20:45,P1,TJ Spoje Meliss,Huňáč PK A
1-a,8,Po 3.11.25,20:30,MOTO1,Hoverla Zak,G.I.C La Plate de Cünde
1-a,8,Po 3.11.25,20:15,METE1,Santa Dominica,Restaurace U Pecků A
1-a,8,Po 3.11.25,19:30,P1,Uragan,MC Sarmat A
1-a,8,Po 3.11.25,19:15,MOTO1,Flyers Jinonice FC,Lucián FC A
1-a,8,Po 3.11.25,19:00,METE1,Andezit FC A,Dynamo UK
1-a,9,Po 10.11.25,20:45,P1,Lucián FC A,TJ Spoje Meliss
1-a,9,Po 10.11.25,20:30,MOTO1,Dynamo UK,Santa Dominica
1-a,9,Po 10.11.25,20:15,METE1,Restaurace U Pecků A,Uragan
1-a,9,Po 10.11.25,19:30,P1,G.I.C La Plate de Cünde,Andezit FC A
1-a,9,Po 10.11.25,19:15,MOTO1,MC Sarmat A,Flyers Jinonice FC
1-a,9,Po 10.11.25,19:00,METE1,Huňáč PK A,Hoverla Zak
1-a,10,Po 24.11.25,20:45,P1,TJ Spoje Meliss,MC Sarmat A
1-a,10,Po 24.11.25,20:30,MOTO1,Flyers Jinonice FC,Restaurace U Pecků A
1-a,10,Po 24.11.25,20:15,METE1,Santa Dominica,Uragan
1-a,10,Po 24.11.25,19:30,P1,Andezit FC A,Huňáč PK A
1-a,10,Po 24.11.25,19:15,MOTO1,Hoverla Zak,Lucián FC A
1-a,10,Po 24.11.25,19:00,METE1,Dynamo UK,G.I.C La Plate de Cünde
2-a,1,Po 27.10.25,20:45,P1,Deko,M+M Star FC
2-a,1,Po 1.9.25,20:30,MOTO4,Nalejto 1.FC,Vojenské lesy A
2-a,1,Po 1.9.25,19:45,MIKU2,Saens 1.FC A,Bruins FC
2-a,1,Po 1.9.25,19:45,MIKU1,Dvorce SK MPI,Rozmetadlo FC
2-a,1,Po 1.9.25,19:30,LITVI,Domácí potřeby A,Texaské hyeny AC
2-a,1,Po 1.9.25,19:15,SCBEC,Zimbru Olymp A,Stará dáma
2-a,2,Pá 12.9.25,19:30,BECH,Nalejto 1.FC,Domácí potřeby A
2-a,2,Po 8.9.25,20:45,P2,Bruins FC,Deko
2-a,2,Po 8.9.25,20:30,MOTO4,Vojenské lesy A,M+M Star FC
2-a,2,Po 8.9.25,20:15,METE2,Texaské hyeny AC,Zimbru Olymp A
2-a,2,Po 8.9.25,19:45,MIKU1,Stará dáma,Dvorce SK MPI
2-a,2,Po 8.9.25,19:45,MIKU2,Rozmetadlo FC,Saens 1.FC A
2-a,3,Út 16.9.25,19:30,BECH,Zimbru Olymp A,Nalejto 1.FC
2-a,3,Po 15.9.25,20:45,P2,Deko,Rozmetadlo FC
2-a,3,Po 15.9.25,20:30,MOTO4,Domácí potřeby A,Vojenské lesy A
2-a,3,Po 15.9.25,19:45,MIKU2,Saens 1.FC A,Stará dáma
2-a,3,Po 15.9.25,19:45,MIKU1,Dvorce SK MPI,Texaské hyeny AC
2-a,3,Po 15.9.25,19:30,LITVI,M+M Star FC,Bruins FC
2-a,4,Po 22.9.25,20:45,P1,Stará dáma,Deko
2-a,4,Po 22.9.25,20:30,MOTO4,Vojenské lesy A,Bruins FC
2-a,4,Po 22.9.25,19:45,MIKU2,Nalejto 1.FC,Dvorce SK MPI
2-a,4,Po 22.9.25,19:45,MIKU1,Texaské hyeny AC,Saens 1.FC A
2-a,4,Po 22.9.25,19:30,LITVI,Domácí potřeby A,Zimbru Olymp A
2-a,4,Po 22.9.25,19:15,KORAB,Rozmetadlo FC,M+M Star FC
2-a,5,Po 29.9.25,20:45,P2,Deko,Texaské hyeny AC
2-a,5,Po 29.9.25,20:30,HANSP,Bruins FC,Rozmetadlo FC
2-a,5,Po 29.9.25,20:30,MOTO4,Zimbru Olymp A,Vojenské lesy A
2-a,5,Po 29.9.25,19:45,MIKU2,Saens 1.FC A,Nalejto 1.FC
2-a,5,Po 29.9.25,19:45,MIKU1,Dvorce SK MPI,Domácí potřeby A
2-a,5,Po 29.9.25,19:00,ZABEH,M+M Star FC,Stará dáma
2-a,6,Po 6.10.25,20:45,P3,Stará dáma,Bruins FC
2-a,6,Po 6.10.25,20:45,P2,Nalejto 1.FC,Deko
2-a,6,Po 6.10.25,20:30,HANSP,Texaské hyeny AC,M+M Star FC
2-a,6,Po 6.10.25,20:30,MOTO4,Vojenské lesy A,Rozmetadlo FC
2-a,6,Po 6.10.25,19:45,MIKU4,Zimbru Olymp A,Dvorce SK MPI
2-a,6,Po 6.10.25,19:30,LITVI,Domácí potřeby A,Saens 1.FC A
2-a,7,Pá 17.10.25,19:30,BECH,M+M Star FC,Nalejto 1.FC
2-a,7,Po 13.10.25,20:45,BECH,Rozmetadlo FC,Stará dáma
2-a,7,Po 13.10.25,20:45,P2,Deko,Domácí potřeby A
2-a,7,Po 13.10.25,20:30,MOTO4,Dvorce SK MPI,Vojenské lesy A
2-a,7,Po 13.10.25,20:30,HANSP,Bruins FC,Texaské hyeny AC
2-a,7,Po 13.10.25,19:45,MIKU1,Saens 1.FC A,Zimbru Olymp A
2-a,8,Pá 24.10.25,19:30,BECH,Nalejto 1.FC,Bruins FC
2-a,8,Po 20.10.25,20:30,MOTO4,Vojenské lesy A,Stará dáma
2-a,8,Po 20.10.25,20:15,METE2,Texaské hyeny AC,Rozmetadlo FC
2-a,8,Po 20.10.25,19:45,MIKU1,Dvorce SK MPI,Saens 1.FC A
